Number of good coordinates: 890
5: lat: 43.6667, lng: -79.4167
3: lat: 29.6576576, lng: -95.584938
3: lat: 49.0312, lng: -122.3012
3: lat: 49.6765, lng: -112.8035
2: lat: 35.8843346, lng: -95.4757767
2: lat: 38.076992, lng: -76.6883469
2: lat: 38.6438217, lng: -77.3348846
2: lat: 36.9606323, lng: -76.6273422
2: lat: 34.3583298, lng: -78.814888
2: lat: 49.278946, lng: -123.084023
2: lat: 31.1171, lng: -97.7278
2: lat: 42.3366318, lng: -83.3037872
2: lat: 45.4024, lng: -73.5376
2: lat: 34.6613083, lng: -79.4901276
2: lat: 49.2007, lng: -122.6641
2: lat: 49.839444, lng: -124.523694
2: lat: 38.9264488, lng: -82.2685852
2: lat: 26.1344395, lng: -80.1563644
2: lat: 51.0833, lng: -114.0833
2: lat: 41.3896561, lng: -81.8221817
2: lat: 30.2900906, lng: -89.7858047
2: lat: 37.2969475, lng: -85.9076996
2: lat: 49.2667, lng: -122.7833
2: lat: 50.0059, lng: -125.2343
2: lat: 32.3423424, lng: -106.760269
2: lat: 46.8408699, lng: -96.8789368
2: lat: 43.2561, lng: -79.8575
2: lat: 45.5415, lng: -75.3062
2: lat: 28.072073, lng: -82.7228012
2: lat: 31.0345478, lng: -93.2104645
2: lat: 39.9685555, lng: -75.0327225
2: lat: 32.7101021, lng: -96.8269348
2: lat: 46.2318, lng: -63.1192
2: lat: 45.970989, lng: -66.628862
2: lat: 35.4726944, lng: -79.2064056
2: lat: 39.3312645, lng: -81.3476028
2: lat: 35.1218681, lng: -86.2589722
2: lat: 41.9414444, lng: -88.7343292
2: lat: 33.2792792793, lng: -111.835933452
2: lat: 31.3841152, lng: -89.1702881
2: lat: 35.6280251, lng: -92.3768539
2: lat: 37.1050034, lng: -89.8930435
2: lat: 51.0999, lng: -113.9422
2: lat: 53.5899, lng: -113.4413
2: lat: 40.4144135, lng: -80.5323257
2: lat: 44.0360374, lng: -88.5483551
2: lat: 33.5504723, lng: -86.616272
2: lat: 43.2070732, lng: -75.4355469
2: lat: 49.2225, lng: -122.4984
2: lat: 38.4543114, lng: -82.9907608
2: lat: 28.0059166, lng: -82.7411575
2: lat: 42.2578316, lng: -83.5414581
2: lat: 42.6962433, lng: -84.5525131
2: lat: 36.0345955, lng: -90.4860535
2: lat: 43.6699, lng: -79.7444
2: lat: 41.7392235, lng: -88.045166
2: lat: 39.0886421, lng: -76.8631058
2: lat: 49.2333, lng: -55.0667
2: lat: 39.1924744, lng: -77.2726746
2: lat: 40.0097427, lng: -75.1404724
1: lat: 41.4355316, lng: -79.6987305
1: lat: 38.9417, lng: -95.1027
1: lat: 58.511209, lng: -117.153222
1: lat: 41.2359657, lng: -77.0301361
1: lat: 37.5628, lng: -122.0004
1: lat: 41.9028664, lng: -87.8351059
1: lat: 41.3333333333, lng: -72.8754505609
1: lat: 33.793147, lng: -118.2867416
1: lat: 45.5522, lng: -73.6256
1: lat: 41.5117073, lng: -82.9113693
1: lat: 39.490891, lng: -87.413227
1: lat: 46.616951, lng: -96.1408386
1: lat: 38.1419449, lng: -83.5441437
1: lat: 32.68329255, lng: -97.21546679
1: lat: 40.0778999, lng: -82.9585648
1: lat: 38.3419037, lng: -83.5969772
1: lat: 49.5031, lng: -119.5905
1: lat: 36.9055519, lng: -83.0694199
1: lat: 28.7207203, lng: -80.867897
1: lat: 43.3375168, lng: -88.4278183
1: lat: 34.5565262, lng: -90.6659164
1: lat: 33.1284485, lng: -94.1678772
1: lat: 40.0283585, lng: -85.730545
1: lat: 40.6947403, lng: -73.6108246
1: lat: 35.2152939, lng: -97.4968872
1: lat: 38.5330772, lng: -90.3085632
1: lat: 37.0608444, lng: -94.570816
1: lat: 30.201124, lng: -93.223916
1: lat: 49.2765, lng: -123.2177
1: lat: 36.4339523, lng: -95.5233002
1: lat: 42.4092789, lng: -96.4274368
1: lat: 42.4278793, lng: -92.3282547
1: lat: 43.6771584, lng: -70.2949219
1: lat: 30.652895, lng: -87.0522995
1: lat: 45.767019, lng: -73.805123
1: lat: 42.9601288, lng: -85.7013092
1: lat: 36.8000565, lng: -85.3636627
1: lat: 43.5939407, lng: -83.7720718
1: lat: 37.8040199, lng: -84.3235931
1: lat: 43.7023, lng: -79.7909
1: lat: 52.512382, lng: 13.410067
1: lat: 43.928884, lng: -93.951541
1: lat: 49.0992, lng: -122.8691
1: lat: 40.6492904, lng: -80.4143277
1: lat: 32.4465408, lng: -96.8390274
1: lat: 41.0630646, lng: -85.3361435
1: lat: 41.329277, lng: -89.2009583
1: lat: 32.4076195, lng: -99.7516556
1: lat: 29.51785216, lng: -98.53571425
1: lat: 53.2786, lng: -110.0233
1: lat: 39.0264, lng: -77.4882
1: lat: 29.740862, lng: -95.585264
1: lat: 45.1507416, lng: -93.3042297
1: lat: 41.3513527, lng: -87.3931351
1: lat: 47.3116989, lng: -97.2404022
1: lat: 43.8148003, lng: -91.2417679
1: lat: 36.7176781, lng: -83.2016602
1: lat: 35.1711693, lng: -80.8726349
1: lat: 48.61289, lng: -123.519804
1: lat: 30.3597374, lng: -92.0654144
1: lat: 29.8497963, lng: -97.9528732
1: lat: 29.9113579, lng: -95.5880203
1: lat: 41.197664, lng: -75.248158
1: lat: 35.9812622, lng: -96.7641296
1: lat: 42.2616807, lng: -84.4514221
1: lat: 28.8950481, lng: -81.234581
1: lat: 44.44726433, lng: -73.21233535
1: lat: 46.2131, lng: -119.1682
1: lat: 43.9279289, lng: -89.3379288
1: lat: 29.658502, lng: -95.576139
1: lat: 29.5742284, lng: -98.4401661
1: lat: 39.8173332, lng: -89.713913
1: lat: 40.5378, lng: -75.7812
1: lat: 40.7747765, lng: -74.1627502
1: lat: 43.5892, lng: -79.7239
1: lat: 32.3795357, lng: -84.9034729
1: lat: 39.1260681, lng: -76.636879
1: lat: 40.22430488, lng: -85.3576149
1: lat: 40.6846848, lng: -73.4208679
1: lat: 38.7618294, lng: -90.3199463
1: lat: 47.4503479, lng: -104.344025
1: lat: 39.707163, lng: -105.125446
1: lat: 29.66841402, lng: -95.3011257
1: lat: 43.0773, lng: -79.9514
1: lat: 38.8684297, lng: -96.5835474
1: lat: 40.9151479, lng: -83.3561778
1: lat: 35.3788834, lng: -81.1143494
1: lat: 32.5765762, lng: -97.0742416
1: lat: 39.6576576, lng: -84.0435181
1: lat: 42.4932632, lng: -75.5672836
1: lat: 42.7626686, lng: -87.8871536
1: lat: 33.252388, lng: -117.311792
1: lat: 41.3072739, lng: -81.7247009
1: lat: 37.9253578, lng: -121.70153
1: lat: 39.4050636, lng: -84.4714661
1: lat: 33.7465591, lng: -84.4946976
1: lat: 36.6629105, lng: -84.416832
1: lat: 34.9053802, lng: -81.9730453
1: lat: 29.6974163, lng: -91.3100204
1: lat: 46.8738, lng: -96.7676
1: lat: 35.7956276, lng: -78.7711334
1: lat: 27.8244629, lng: -82.6945631
1: lat: 41.2909241, lng: -72.6680679
1: lat: 41.3873863, lng: -87.4415512
1: lat: 37.2580681, lng: -90.9769974
1: lat: 39.8839722, lng: -88.9961548
1: lat: 35.9011323, lng: -89.7765704
1: lat: 42.9943, lng: -81.2623
1: lat: 39.4856262, lng: -88.1772079
1: lat: 41.3243179, lng: -72.1760406
1: lat: 40.7068977, lng: -111.853119
1: lat: 42.5069351, lng: -90.7181931
1: lat: 41.5315323, lng: -90.5003586
1: lat: 36.5631561, lng: -87.4359589
1: lat: 35.6277924, lng: -95.8554916
1: lat: 35.2517853, lng: -102.422249
1: lat: 30.4878178, lng: -97.6377487
1: lat: 46.8143, lng: -71.2431
1: lat: 27.9870434, lng: -82.1307831
1: lat: 44.9551353, lng: -93.1881638
1: lat: 42.4876518, lng: -88.0959549
1: lat: 42.3987836, lng: -122.9777496
1: lat: 38.9422035, lng: -94.5116196
1: lat: 40.4504509, lng: -79.8888321
1: lat: 38.8784862, lng: -94.4283765
1: lat: 32.8044739, lng: -96.9462891
1: lat: 45.0042458, lng: -93.1681442
1: lat: 30.2342339, lng: -93.0124664
1: lat: 31.8508568, lng: -83.6832886
1: lat: 42.4057579, lng: -83.292984
1: lat: 36.2702713, lng: -86.6221466
1: lat: 30.4615879, lng: -97.8201752
1: lat: 50.014487, lng: -119.394734
1: lat: 34.400269, lng: -83.937291
1: lat: 54.0167, lng: -124.0167
1: lat: 32.9623947, lng: -96.6719818
1: lat: 33.8513222, lng: -84.4825211
1: lat: 34.5155945, lng: -91.555069
1: lat: 37.0454407, lng: -88.4749374
1: lat: 33.84287078, lng: -117.88864088
1: lat: 34.6199722, lng: -79.0199127
1: lat: 31.4952354, lng: -95.4785309
1: lat: 42.1453247, lng: -87.9572067
1: lat: 38.162197, lng: -85.699851
1: lat: 42.9891243, lng: -71.4756088
1: lat: 30.2710552, lng: -85.5192871
1: lat: 47.71592149, lng: -122.16687796
1: lat: 42.899115, lng: -71.347504
1: lat: 42.739399, lng: -83.0349197
1: lat: 41.9659195, lng: -83.8905945
1: lat: 39.58865943, lng: -86.23101358
1: lat: 43.9423, lng: -79.4595
1: lat: 39.210805, lng: -94.4895365
1: lat: 39.14281756, lng: -76.51594973
1: lat: 29.3693695, lng: -100.874718
1: lat: 21.344444, lng: -157.908062
1: lat: 49.680994, lng: -112.7977757
1: lat: 35.4586906, lng: -94.8283997
1: lat: 42.3049965, lng: -85.2012024
1: lat: 32.3261452, lng: -102.541557
1: lat: 34.7567558, lng: -86.6272278
1: lat: 33.9900627, lng: -86.1058731
1: lat: 30.2607269, lng: -91.1036224
1: lat: 44.8096771, lng: -91.5137558
